DOW,Wholesale,TOA,Total Quantity,TOS,AGE,QTY,FP,FUP1000,PROFITS,Predicted,Total sold,Total profits,Qty left,Flower
3,80,0,0,850,100,0.125,27,216,17,0,0,0,0,Rose
3,80,0,0,850,100,0.05,7,140,3,0,0,0,0,Rose
3,80,0,0,900,150,0.075,13,173.3,7,0,0,0,0,Rose
3,80,0,0,925,175,0.25,40,160,20,0,0,0,0,Rose
3,80,0,0,933,183,0.25,30,120,10,0,0,0,0,Rose
3,80,0,0,975,225,0.125,20,160,10,0,0,0,0,Rose
3,80,0,0,1025,275,0.15,20,133.3,8,0,0,0,0,Rose
3,80,0,0,1050,300,0.125,20,160,10,0,0,0,0,Rose
3,80,0,0,1100,350,0.25,40,160,20,0,0,0,0,Rose
3,80,0,0,1158,408,0.5,70,140,30,0,0,0,0,Rose
3,80,0,0,1167,417,0.15,20,133.3,8,0,0,0,0,Rose
3,80,0,0,1183,433,1,130,130,50,0,0,0,0,Rose
3,80,0,0,1217,467,0.5,70,140,30,0,0,0,0,Rose
3,80,0,0,1217,467,0.5,80,160,40,0,0,0,0,Rose
3,80,0,0,1250,500,0.075,13,173.3,7,0,0,0,0,Rose
3,80,0,0,1317,567,0.1,20,200,12,0,0,0,0,Rose
3,80,0,0,1317,567,0.05,7,140,3,0,0,0,0,Rose
3,80,0,0,1375,625,0.25,40,160,20,0,0,0,0,Rose
3,80,0,0,1400,650,0.5,80,160,40,0,0,0,0,Rose
3,80,0,0,1475,725,0.075,13,173.3,7,0,0,0,0,Rose
3,80,0,0,1500,750,0.25,30,120,10,0,0,0,0,Rose
3,80,0,0,1575,825,0.5,80,160,40,0,0,0,0,Rose
3,80,0,0,1583,833,0.125,20,160,10,0,0,0,0,Rose
3,80,0,0,1583,833,1,130,130,50,0,0,0,0,Rose
3,80,0,0,1650,900,0.25,40,160,20,0,0,0,0,Rose
3,80,0,0,1667,917,0.15,20,133.3,8,0,0,0,0,Rose
3,80,0,0,1750,1000,0.125,20,160,10,0,0,0,0,Rose
3,80,0,0,1825,1075,0.25,40,160,20,0,0,0,0,Rose
3,80,0,0,1850,1100,0.5,70,140,30,0,0,0,0,Rose
3,80,0,0,1858,1108,0.5,80,160,40,0,0,0,0,Rose
3,80,0,0,1800,1050,0.25,40,160,20,0,0,0,0,Rose
3,80,0,0,1900,1150,0.2,60,300,44,0,0,0,0,Rose
3,80,0,0,1900,1150,1,130,130,50,0,0,0,0,Rose
3,80,0,0,2050,1300,0.25,40,160,20,0,0,0,0,Rose
3,80,0,0,2058,1308,0.125,20,160,10,0,0,0,0,Rose
3,80,0,0,2067,1317,0.125,20,160,10,0,0,0,0,Rose
3,80,0,0,2083,1333,0.075,13,173.3,7,0,0,0,0,Rose
5,120,0,0,1050,300,1,200,200,80,0,0,0,0,Rose
5,120,0,0,1050,300,0.075,13,173.3,4,0,0,0,0,Rose
5,120,0,0,1067,317,0.5,100,200,40,0,0,0,0,Rose
5,120,0,0,1067,317,0.075,13,173.3,4,0,0,0,0,Rose
5,120,0,0,1075,325,0.25,50,200,20,0,0,0,0,Rose
5,120,0,0,1083,333,0.125,26,208,11,0,0,0,0,Rose
5,120,0,0,1083,333,0.05,10,200,4,0,0,0,0,Rose
5,120,0,0,1100,350,0.125,26,208,11,0,0,0,0,Rose
5,120,0,0,1117,367,0.25,50,200,20,0,0,0,0,Rose
5,120,0,0,1117,367,0.05,10,200,4,0,0,0,0,Rose
5,120,0,0,1133,383,0.125,26,208,11,0,0,0,0,Rose
5,120,0,0,1158,408,0.15,32,213.3,14,0,0,0,0,Rose
5,120,0,0,1167,417,0.25,50,200,20,0,0,0,0,Rose
5,120,0,0,1167,417,0.125,26,208,11,0,0,0,0,Rose
5,120,0,0,1167,417,0.125,26,208,11,0,0,0,0,Rose
5,120,0,0,1183,433,0.5,100,200,40,0,0,0,0,Rose
6,120,0,0,875,125,0.5,115,230,55,0,0,0,0,Rose
6,120,0,0,883,133,0.25,50,200,20,0,0,0,0,Rose
6,120,0,0,900,150,0.1,20,200,8,0,0,0,0,Rose
6,120,0,0,917,167,0.25,50,200,20,0,0,0,0,Rose
6,120,0,0,917,167,0.125,25,200,10,0,0,0,0,Rose
6,120,0,0,925,175,0.1,20,200,8,0,0,0,0,Rose
6,120,0,0,925,175,0.075,13,173.3,4,0,0,0,0,Rose
6,120,0,0,925,175,0.25,52,208,22,0,0,0,0,Rose
6,120,0,0,933,183,0.5,100,200,40,0,0,0,0,Rose
6,120,0,0,933,183,0.25,52,208,22,0,0,0,0,Rose
6,120,0,0,950,200,0.5,100,200,40,0,0,0,0,Rose
6,120,0,0,950,200,0.5,100,200,40,0,0,0,0,Rose
6,120,0,0,967,217,0.5,100,200,40,0,0,0,0,Rose
6,120,0,0,992,242,0.25,50,200,20,0,0,0,0,Rose
6,120,0,0,1000,250,0.125,25,200,10,0,0,0,0,Rose
6,120,0,0,1100,350,0.5,100,200,40,0,0,0,0,Rose
6,120,0,0,1100,350,0.125,20,160,5,0,0,0,0,Rose
6,120,0,0,1133,383,0.25,50,200,20,0,0,0,0,Rose
6,120,0,0,1150,400,0.25,50,200,20,0,0,0,0,Rose
6,120,0,0,1175,425,0.25,52,208,22,0,0,0,0,Rose
